Product / Variation title,SKU,Items sold,N. Revenue,Orders,Status,Stock
ROYAL PROPOLIS FOUNDATION SPF 45 - WARM NATURAL,00582,19,978.6,18,In stock,12
ROYAL PROPOLIS POWDER FOUNDATION - AA40 MEDIUM DARK,00432,19,958.4,19,Out of stock,0
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION - MINI - FERVI,00593,18,179.6,18,In stock,41
POCKET CAMOUFLAGE CREAM - AAP10,00559,17,748.5,16,Out of stock,0
CUSHION GLOW BLUSHER - SWEET ROSE,9551012110009,17,850.0,15,Out of stock,0
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION - MINI - EDEL,00594,17,159.6,17,In stock,37
SATIN STAY SPF30 &amp; COMPACT POWDER - CP60,00545,17,748.5,17,In stock,23
HEART APPLICATOR SPONGE - BLACK,00385,17,678.3,16,Out of stock,0
PRESSED POWDER PALETTE - RED VELVET,00615,17,848.3,17,In stock,33
PRESSED POWDER PALETTE - TANGERINE,00616,15,748.5,14,In stock,35
COMPACT POWDER &amp; CUSHION FOUNDATION - M30,00519,14,978.6,10,Out of stock,0
ALHA ALFA FOGGY LIPS - MERLIN,00591,13,179.4,13,In stock,18
ALHA ALFA FACE BRUSH - BRUSH F01,00345,13,780.0,13,In stock,46
SATIN STAY SPF30 &amp; COMPACT POWDER - CP40,00543,13,598.8,13,In stock,18
ALHA ALFA BE YOU GLOW FOUNDATION - G50 WARM NATURAL,00528,12,538.8,11,Out of stock,0
ALHA ALFA CHEEKY MATTE POWDER BLUSH - BL03,00550,12,598.8,12,In stock,40
ALHA ALFA CHEEKY MATTE POWDER BLUSH - BL01,00548,11,548.9,11,In stock,47
SUPER STAY FIXING POWDER - MINI - BROWN,00585,9,119.7,9,In stock,94
COMPACT POWDER &amp; CUSHION FOUNDATION - M20,00518,9,629.1,9,Out of stock,0
ALHA ALFA CHEEKY MATTE POWDER BLUSH - BL05,00552,8,399.2,8,In stock,46
ROYAL PROPOLIS FOUNDATION SPF 45 - NATURAL TAN,00583,8,419.4,7,In stock,22
ALHA ALFA BE YOU GLOW FOUNDATION - G60 NATURAL TAN,00529,8,359.2,7,Out of stock,0
ALHA ALFA CHEEKY MATTE POWDER BLUSH - BL04,00551,8,399.2,8,In stock,45
COMPACT POWDER &amp; CUSHION FOUNDATION - M10,00517,7,489.3,7,Out of stock,0
SATIN STAY SPF30 &amp; COMPACT POWDER - CP70,00546,7,349.3,7,In stock,68
ROYAL PROPOLIS FOUNDATION - AURI,82777,7,349.3,7,Out of stock,0
HEART APPLICATOR SPONGE - PEACH,00385b,7,279.3,7,In stock,94
ALHA ALFA FOGGY LIPS - CHERRY,00588,7,209.3,6,In stock,13
ALHA ALFA CHEEKY MATTE POWDER BLUSH - BL02,00549,6,299.4,5,In stock,46
HEART APPLICATOR SPONGE - NUDE,00385a,6,239.4,6,In stock,96
SATIN STAY SPF30 &amp; COMPACT POWDER - CP30,00542,6,299.4,5,In stock,24
ALHA ALFA LASHES PREMIUM COLLECTION - Code 007,00324,5,60.0,4,In stock,993
ALHA ALFA SUNSCREEN &amp; FOUNDATION - MEDIUM,00507,5,249.5,5,Out of stock,0
GLOW SKIN TINTED HIDRATOR - DARK,00450,5,0.0,4,Out of stock,0
SATIN STAY SPF30 &amp; COMPACT POWDER - CP20,00541,5,249.5,5,In stock,9
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION SPF35 - RPF70 MORRI,00575,5,299.5,5,In stock,15
ALHA ALFA SUNSCREEN &amp; FOUNDATION - TAN,00508,5,249.5,5,Out of stock,0
ALHA ALFA CHEEKY MATTE POWDER BLUSH - BL08,00554,5,249.5,5,In stock,49
SATIN STAY SPF30 &amp; COMPACT POWDER - CP50,00544,4,149.7,4,In stock,12
ALHA ALFA BE YOU MATTE FOUNDATION - M50 WARM NATURAL,00536,4,179.6,4,In stock,16
ROYAL PROPOLIS FOUNDATION - SALVIA,9551012110078,4,199.6,4,Out of stock,0
FACIAL CLEANSER &amp; MAKEUP REMOVER - NORMAL TO DRY,00408,3,149.7,3,Out of stock,0
ALHA ALFA CHEEKY MATTE POWDER BLUSH - BL06,00553,3,149.7,3,In stock,49
ALHA ALFA LASHES PREMIUM COLLECTION - Code 009,00326,3,36.0,3,In stock,997
ROYAL PROPOLIS FOUNDATION - FERVI,82777,3,149.7,3,Out of stock,0
ALHA ALFA BE YOU MATTE FOUNDATION - M20 LIGHT,00533,2,89.8,2,In stock,5
COMPACT POWDER &amp; CUSHION FOUNDATION - M50,00521,2,139.8,2,Out of stock,0
ALHA ALFA FACE BRUSH - BRUSH F05,00344,2,150.0,2,In stock,67
SATIN STAY SPF30 &amp; COMPACT POWDER - CP10,00540,2,99.8,2,In stock,9
ALHA ALFA BE YOU MATTE FOUNDATION - M60 NATURAL TAN,00537,2,89.8,2,In stock,50
POCKET CAMOUFLAGE CREAM - AAP40,00562,2,99.8,2,Out of stock,0
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION - MINI - MORRI,00595,2,0.0,2,In stock,23
ROYAL PROPOLIS POWDER FOUNDATION - AA50 DARK,00433,2,59.9,2,In stock,49
POCKET CAMOUFLAGE CREAM - AAP50,00563,2,99.8,2,Out of stock,0
ALHA ALFA BE YOU MATTE FOUNDATION - M70 HONEY,00538,2,89.8,2,In stock,24
ALHA ALFA EYE BRUSH - BRUSH E01,00350,1,40.0,1,In stock,96
ALHA ALFA EYE BRUSH - BRUSH SET,00367,1,299.9,1,In stock,99
ALHA ALFA BE YOU MATTE FOUNDATION - M10 FAIR,00532,1,44.9,1,In stock,5
ALHA ALFA FACE BRUSH - BRUSH SET,00368,1,350.0,1,In stock,99
ALHA ALFA LASHES PREMIUM COLLECTION - Code 008,00325,1,17.0,1,Out of stock,0
ALHA ALFA CHEEKY MATTE POWDER BLUSH - BL10,00555,1,49.9,1,In stock,49
ALHA ALFA FACE MASK - 01 BLACK,00420,1,25.0,1,In stock,99
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION SPF35 - RPF80 OXALIS,00576,1,59.9,1,In stock,19
ALHA ALFA SUNSCREEN &amp; FOUNDATION - DEEP,00509,1,49.9,1,Out of stock,0
ALHA ALFA FACE BRUSH - BRUSH F02,00348,1,60.0,1,In stock,91
SATIN STAY SPF30 &amp; COMPACT POWDER - CP80,00547,1,49.9,1,In stock,91
ROYAL PROPOLIS FOUNDATION SPF 45 - DEEP,00584,1,0.0,1,In stock,47
ALHA ALFA BE YOU MATTE FOUNDATION - M30 LIGHT MEDIUM,00534,1,44.9,1,Out of stock,0
ALHA ALFA FACE BRUSH - BRUSH F03,00347,1,50.0,1,In stock,98
ALHA ALFA LASHES PREMIUM COLLECTION - Code 006,00323,1,12.0,1,In stock,999
